0.758,0.111,0.0,0.080,0.078,0.066,0.049,0.047,0.035,0.031
0.028,0.035,0.026,0.039,0.035,0.043,0.047,0.053,0.053,0.070
0.072,0.084,0.097,0.121,0.132,0.169,0.196,0.214,0.235,0.254
0.264,0.285,0.272,0.266,0.239,0.214,0.173,0.157,0.123,0.121
0.107,0.105,0.097,0.105,0.099,0.105,0.099,0.107,0.107,0.115
0.111,0.121,0.111,0.119,0.111,0.113,0.111,0.121,0.105,0.107
0.101,0.101,0.086,0.092,0.084,0.082,0.078,0.078,0.070,0.076
0.068,0.078,0.070,0.068,0.068,0.074,0.072,0.090,0.101,0.107
0.105,0.121,0.115,0.109,0.097,0.103,0.097,0.086,0.072,0.070
0.053,0.057,0.049,0.057,0.051,0.055,0.053,0.053,0.0,0.012 
